Frequency,Water Temp,Ambient,Capacity,kW,COP
90,100,-20,"35,967",6.28,1.68
90,100,-4,"42,109",6.46,1.91
90,100,17,"50,609",6.75,2.2
90,100,47,"76,023",7.26,3.07
90,100,-20,"33,863",7.5,1.32
90,120,-4,"39,645",7.7,1.51
90,120,17,"47,648",8.05,1.73
90,120,47,"71,574",8.66,2.42
90,130,-20,"33,694",8.28,1.19
90,130,-4,"39,368",8.73,1.32
90,130,17,"47,315",9.12,1.52
90,130,47,"71,074",9.81,2.12
60,100,-20,"15,535",2.45,1.86
60,100,-4,"21,677",3.1,2.05
60,100,17,"32,388",3.45,2.75
60,100,47,"51,626",3.83,3.95
60,120,-20,"14,627",2.92,1.47
60,120,-4,"20,409",3.7,1.62
60,120,17,"30,493",4.12,2.43
60,120,47,"48,605",4.57,3.12
60,130,-20,"14,553",3.23,1.32
60,130,-4,"20,266",4.19,1.42
60,130,17,"30,280",4.66,1.9
60,130,47,"48,265",5.18,2.73
30,100,-4,"11,137",1.6,2.05
30,100,17,"15,696",1.69,2.73
30,100,47,"21,746",1.63,3.92
30,120,-4,"10,486",1.9,1.62
30,120,17,"14,777",2.01,2.15
30,120,47,"20,473",1.94,3.09
30,130,-4,"10,412",2.16,1.42
30,130,17,"14,674",2.28,1.89
30,130,47,"20,330",2.2,2.71
78,45,76,"74,489",5.19,14.34
78,45,89,"66,912",5.89,11.36
78,45,95,"63,125",6.38,9.9
78,45,101,"58,449",6.79,8.6
78,60,76,"60,396",5.09,11.87
78,60,89,"54,253",5.77,9.4
78,60,95,"51,182",6.25,8.19
78,60,101,"47,391",6.66,7.12
60,45,76,"60,396",3.59,16.81
60,45,89,"54,253",4.07,13.32
60,45,95,"51,182",4.41,11.6
60,45,101,"47,391",4.7,10.09
60,60,76,"50,310",3.51,14.34
60,60,89,"45,193",3.98,11.36
60,60,95,"42,635",4.31,9.9
60,60,101,"39,477",4.59,8.6
30,45,76,"35,231",1.95,18.05
30,45,89,"31,648",2.21,14.3
30,45,95,"29,856",2.4,12.45
30,45,101,"27,645",2.55,10.83
30,60,76,"27,380",1.73,15.82
30,60,89,"24,595",1.96,12.53
30,60,95,"23,203",2.13,10.92
30,60,101,"21,484",2.26,9.49
